Source,Target,Type,Id,Label,timeset,Weight,energy,deltaE+,k+,deltaE-,k-
000 000 001 2,000 000 210 0,Directed,46,000 000 0012,,1,50.651,56.0,1.1,53.3,4.4
000 000 002 1,000 000 120 0,Directed,47,000 000 0021,,1,69.31,N/A,N/A,N/A,N/A
000 000 010 2,000 000 201 0,Directed,48,000 000 0102,,1,50.651,53.3,4.4,56.0,1.1
000 000 012 0,000 000 021 0,Directed,49,000 000 0120,,1,50.651,53.3,4.4,56.0,1.1
000 000 020 1,000 000 102 0,Directed,50,000 000 0201,,1,69.31,N/A,N/A,N/A,N/A
000 000 100 2,000 000 200 1,Directed,51,000 000 1002,,1,69.31,N/A,N/A,N/A,N/A
000 000 001 2,000 200 100 0,Directed,52,000 001 0002,,1,51.557,59.9,0.145,39.2,6970
000 000 001 2,000 100 200 0,Directed,53,001 000 0002,,1,51.557,59.9,0.145,39.2,6970
000 001 002 0,000 020 100 0,Directed,54,000 001 0020,,1,51.557,59.9,0.145,39.2,6970
000 002 001 0,000 100 020 0,Directed,55,001 000 0020,,1,51.557,59.9,0.145,39.2,6970
000 001 020 0,000 002 100 0,Directed,56,000 001 0200,,1,51.557,59.9,0.145,39.2,6970
000 020 001 0,000 100 002 0,Directed,57,001 000 0200,,1,51.557,59.9,0.145,39.2,6970
000 001 200 0,000 000 100 2,Directed,58,000 001 2000,,1,51.557,59.9,0.145,39.2,6970
000 200 001 0,000 000 100 2,Directed,59,001 000 2000,,1,51.557,59.9,0.145,39.2,6970
000 000 002 1,000 100 200 0,Directed,60,000 002 0001,,1,69.31,N/A,N/A,N/A,N/A
000 000 002 1,000 200 100 0,Directed,61,002 000 0001,,1,69.31,N/A,N/A,N/A,N/A
000 002 001 0,000 010 200 0,Directed,62,000 002 0010,,1,50.651,56.0,1.1,53.3,4.4
000 001 002 0,000 200 010 0,Directed,63,002 000 0010,,1,50.651,56.0,1.1,53.3,4.4
000 002 010 0,000 001 200 0,Directed,64,000 002 0100,,1,50.651,53.3,4.4,56.0,1.1
000 010 002 0,000 200 001 0,Directed,65,002 000 0100,,1,50.651,53.3,4.4,56.0,1.1
000 002 100 0,000 000 200 1,Directed,66,000 002 1000,,1,69.31,N/A,N/A,N/A,N/A
000 100 002 0,000 000 200 1,Directed,67,002 000 1000,,1,69.31,N/A,N/A,N/A,N/A
000 000 010 2,000 200 010 0,Directed,68,000 010 0002,,1,57.161,58.4,1.26,58.4,1.26
000 000 010 2,000 010 200 0,Directed,69,010 000 0002,,1,57.161,58.4,1.26,58.4,1.26
000 010 002 0,000 020 010 0,Directed,70,000 010 0020,,1,57.161,58.4,1.26,58.4,1.26
000 002 010 0,000 010 020 0,Directed,71,010 000 0020,,1,57.161,58.4,1.26,58.4,1.26
000 000 012 0,000 000 210 0,Directed,72,000 012 0000,,1,57.161,58.4,1.26,58.4,1.26
000 000 012 0,000 000 210 0,Directed,73,012 000 0000,,1,57.161,58.4,1.26,58.4,1.26
000 000 020 1,000 100 020 0,Directed,74,000 020 0001,,1,69.31,N/A,N/A,N/A,N/A
000 000 020 1,000 020 100 0,Directed,75,020 000 0001,,1,69.31,N/A,N/A,N/A,N/A
000 020 001 0,000 010 020 0,Directed,76,000 020 0010,,1,50.651,56.0,1.1,53.3,4.4
000 001 020 0,000 020 010 0,Directed,77,020 000 0010,,1,50.651,56.0,1.1,53.3,4.4
000 000 021 0,000 000 120 0,Directed,78,000 021 0000,,1,51.557,59.9,0.145,39.2,6970
000 000 021 0,000 000 120 0,Directed,79,021 000 0000,,1,51.557,59.9,0.145,39.2,6970
000 000 102 0,000 000 201 0,Directed,80,000 102 0000,,1,51.557,39.2,6970,59.9,0.145
000 000 102 0,000 000 201 0,Directed,81,102 000 0000,,1,51.557,39.2,6970,59.9,0.145
000 001 002 0,000 200 100 0,Directed,82,001 002 0000,,1,51.557,59.9,0.145,39.2,6970
000 002 001 0,000 100 200 0,Directed,83,002 001 0000,,1,51.557,59.9,0.145,39.2,6970
000 001 020 0,000 020 100 0,Directed,84,001 020 0000,,1,51.557,59.9,0.145,39.2,6970
000 020 001 0,000 100 020 0,Directed,85,020 001 0000,,1,51.557,59.9,0.145,39.2,6970
000 001 200 0,000 002 100 0,Directed,86,001 200 0000,,1,51.557,59.9,0.145,39.2,6970
000 200 001 0,000 100 002 0,Directed,87,200 001 0000,,1,51.557,59.9,0.145,39.2,6970
000 002 010 0,000 010 200 0,Directed,88,002 010 0000,,1,57.161,58.4,1.26,58.4,1.26
000 010 002 0,000 200 010 0,Directed,89,010 002 0000,,1,57.161,58.4,1.26,58.4,1.26
000 010 020 0,000 020 010 0,Directed,90,010 020 0000,,1,57.161,58.4,1.26,58.4,1.26
000 020 010 0,000 010 020 0,Directed,91,020 010 0000,,1,57.161,58.4,1.26,58.4,1.26
